2025-11-04 18:53:27,387 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\widget.py", line 470, in apply_class_lang_rules
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:     Builder.apply(
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~^
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:         self, ignored_consts=ignored_consts,
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,390 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 545, in apply
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:     self._apply_rule(
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~^
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:         widget, rule, rule, ignored_consts=ignored_consts,
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:         rule_children=rule_children)
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 714, in _apply_rule
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:     raise BuilderException(rule.ctx, rule.line,
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:                            '{}: {}'.format(e.__class__.__name__,
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:                                            e), cause=tb)
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr: kivy.lang.builder.BuilderException: Parser: File "D:\Python\TO_DO_Kivy\kv\screens\settings.kv", line 25:
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr: ...
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:      23:    BoxLayout:
2025-11-04 18:53:27,391 | WARNING | logger.py:390 | [TO_DO]  stderr:      24:        orientation: "vertical"
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr: >>   25:        spacing: 0, root.height/25
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:      26:        Button_1:
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:      27:            id: ddl_open
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr: ...
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr: TypeError: Expected unicode, got float
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 705, in _apply_rule
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:     setattr(widget_set, key, value)
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\weakproxy.pyx", line 35, in kivy.weakproxy.WeakProxy.__setattr__
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 520, in kivy.properties.Property.__set__
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 549, in kivy.properties.Property.set
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 748, in kivy.properties.NumericProperty.convert
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 769, in kivy.properties.NumericProperty.parse_list
2025-11-04 18:53:27,392 | WARNING | logger.py:390 | [TO_DO]  stderr: 
2025-11-04 18:55:50,668 | WARNING | config_logger.py:43 | [TO_DO]  Application started with mode: debug
2025-11-04 18:55:52,462 | INFO | base.py:616 | [TO_DO]  Base: Leaving application in progress...
2025-11-04 18:55:52,468 | WARNING | logger.py:390 | [TO_DO]  stderr: Traceback (most recent call last):
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\lang\builder.py", line 705, in _apply_rule
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:     setattr(widget_set, key, value)
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\weakproxy.pyx", line 35, in kivy.weakproxy.WeakProxy.__setattr__
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 520, in kivy.properties.Property.__set__
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 549, in kivy.properties.Property.set
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 748, in kivy.properties.NumericProperty.convert
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\properties.pyx", line 769, in kivy.properties.NumericProperty.parse_list
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr: TypeError: Expected unicode, got float
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr: 
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr: During handling of the above exception, another exception occurred:
2025-11-04 18:55:52,469 | WARNING | logger.py:390 | [TO_DO]  stderr: 
2025-11-04 18:55:52,470 | WARNING | logger.py:390 | [TO_DO]  stderr: Traceback (most recent call last):
2025-11-04 18:55:52,471 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\main.py", line 71, in <module>
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     TO_DOApp().run()
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~^^
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\app.py", line 956, in run
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     runTouchApp()
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~^^
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 574, in runTouchApp
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     EventLoop.mainloop()
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~^^
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 339, in mainloop
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.idle()
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~^^
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\base.py", line 379, in idle
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     Clock.tick()
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~^^
2025-11-04 18:55:52,472 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\clock.py", line 733, in tick
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.post_idle(ts, self.idle())
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\clock.py", line 776, in post_idle
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     self._process_events()
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~^^
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_clock.pyx", line 620, in kivy._clock.CyClockBase._process_events
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_clock.pyx", line 653, in kivy._clock.CyClockBase._process_events
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_clock.pyx", line 649, in kivy._clock.CyClockBase._process_events
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "kivy\\_clock.pyx", line 218, in kivy._clock.ClockEvent.tick
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\screens\splash.py", line 98, in <lambda>
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     Clock.schedule_once(lambda *_: self.app.load_screens(),0.8)
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:                                    ~~~~~~~~~~~~~~~~~~~~~^^
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\main.py", line 66, in load_screens
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:     self.root.add_widget(self.settings())
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:                          ~~~~~~~~~~~~~^^
2025-11-04 18:55:52,473 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\boxlayout.py", line 145, in __init__
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     super(BoxLayout, self).__init__(**kwargs)
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:     ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^
2025-11-04 18:55:52,474 | WARNING | logger.py:390 | [TO_DO]  stderr:   File "D:\Python\TO_DO_Kivy\.venv\Lib\site-packages\kivy\uix\relativelayout.py", line 274, in __init__
